course_id,name,credits,category,sub_category
44011001,影像中的近代中國,2,一般通識,跨領域(人文、社會)
44014001,國際關係理論與現勢,2,一般通識,跨領域(人文、社會)
44046001,自我．身體．文化,2,一般通識,跨領域(人文、社會)
44049001,電影與國際關係,2,一般通識,跨領域(人文、社會)
44051001,美國運動史,2,一般通識,跨領域(人文、社會)
44113001,東南亞藝術與社會巡禮,2,一般通識,跨領域(人文、社會)
44114001,那些動物教我的事,2,一般通識,跨領域(人文、自然)
90112001,自我探索與心理健康,2,一般通識,人文通識
90113001,探索柯南的偵探世界,2,一般通識,跨領域(人文、社會、自然)
41026011,台灣歷史與文化,2,一般通識,人文通識
41036001,歷史：過去與當代的對話,2,一般通識,人文通識
41038001,當代台灣旅行文學欣賞,3,一般通識,人文通識
41089001,近代台灣人物,2,一般通識,人文通識
41099021,文明發展與歷史思惟,3,核心通識,人文通識
41099051,文明發展與歷史思惟,3,核心通識,人文通識
41100001,生命價值與哲學思惟,3,核心通識,人文通識
41100041,生命價值與哲學思惟,3,核心通識,人文通識
41123001,生命探索與宗教文化,3,核心通識,人文通識
41123011,生命探索與宗教文化,3,核心通識,人文通識
41133001,近代臺灣歷史與人物,3,核心通識,人文通識
41176001,風土、餐桌與台灣史,3,一般通識,人文通識
41181001,數位傳播與人文藝術,2,一般通識,人文通識
41185001,台日文學名著選讀,3,一般通識,人文通識
41187001,認識故宮名畫,3,一般通識,人文通識
41190001,台語文學與台灣文化,3,一般通識,人文通識
44008001,民族文學,2,一般通識,跨領域(人文、社會)
44022001,俄國文化與社會,2,一般通識,跨領域(人文、社會)
44104001,窺探科技中的語言應用,3,一般通識,跨領域(人文、資訊)
44108001,移民與文化的十個關鍵字,3,一般通識,跨領域(人文、社會)
044M01001,東協的整合與發展,1,一般通識,跨領域(人文、社會)
90019001,風水、建築與環境,2,一般通識,人文通識
90108001,關於藝術的話題,2,一般通識,跨領域(人文、社會)
41042011,電影藝術,2,一般通識,人文通識
41099031,文明發展與歷史思惟,3,核心通識,人文通識
41133011,近代臺灣歷史與人物,3,核心通識,人文通識
41135001,西方文學經典與人文思維,3,核心通識,人文通識
41191001,實用台灣閩南語,3,一般通識,人文通識
44006011,基督教與社會,3,一般通識,跨領域(人文、社會)
44027001,勞資關係概論,2,一般通識,跨領域(人文、社會)
44085001,性別與文學理論入門,3,一般通識,跨領域(人文、社會)
44095001,西方眼中的中國與臺灣,2,一般通識,跨領域(人文、社會)
44107001,大局：紛擾時局背後的地理，貿易與政治成因,3,一般通識,跨領域(人文、社會)
44115001,語言與認知神經科學概論,3,一般通識,跨領域(人文、自然)
90101001,西歐歷史建築,2,一般通識,人文通識
993003001,音樂鑑賞,2,一般通識,人文通識
993030001,音樂、舞蹈與藝術治療之理論與實作：藝術教育與腦科學之觀點,2,一般通識,跨領域(人文、自然)
42001011,租稅與生活,3,一般通識,社會通識
42051001,經濟全球化與台商大陸投資,2,一般通識,社會通識
42096001,歐盟的兩岸政策,2,一般通識,社會通識
42112001,臺灣政治,3,核心通識,社會通識
42112091,臺灣政治,3,核心通識,社會通識
42116031,生活中的經濟學,3,核心通識,社會通識
42176001,從土耳其看世界,3,一般通識,社會通識
42181011,教育探索與自我學習,3,核心通識,社會通識
42184001,職業生涯規劃,2,一般通識,社會通識
42193001,地方創生入門－空間結構與課題分析,1,一般通識,社會通識
42197001,資訊社會與勞工權利,2,一般通識,社會通識
90116001,氣候變遷與永續旅遊,2,一般通識,社會通識
42015001,全球化下西方社會與民族關係,2,一般通識,社會通識
42053001,歐洲政府與外交政策,2,一般通識,社會通識
42089001,從漫畫看日本,2,一般通識,社會通識
42116011,生活中的經濟學,3,核心通識,社會通識
42116041,生活中的經濟學,3,核心通識,社會通識
42137001,法學素養,3,核心通識,社會通識
42143001,溝通與協商,3,一般通識,社會通識
42149001,淺嚐複雜：計算社會科學初窺,3,一般通識,社會通識
42156031,中國大陸概論,3,核心通識,社會通識
42164001,瞭解國際經濟法,2,一般通識,社會通識
42179001,運動產業實務,2,一般通識,社會通識
42180001,歡迎光臨會計小鎮,2,一般通識,社會通識
42183001,歐亞樞紐下的土耳其,3,一般通識,社會通識
42192001,風土、生活與產業,2,一般通識,社會通識
42200001,認識勞資關係與勞動權益,2,一般通識,社會通識
44112001,園藝與生活,2,一般通識,跨領域(社會、自然)
